"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_BLANK_NoBuild_Codelock","It is forbidden to install a combination lock during a raid.","It is forbidden to install a combination lock during a raid.","Při razii je zakázáno instalovat kódový zámek.","Es ist verboten, während des Überfalls ein Zahlenschloss anzubringen.","Запрещено устанавливать кодовый замок во время рейда.","Podczas nalotu nie wolno instalować zamka szyfrowego.","Tilos a kombinált zár telepítése raid alatt.","È vietato installare un lucchetto a combinazione durante un raid.","Está Prohibido instalar una Cerradura de combinación durante una incursión.","Il est interdit d'installer une serrure à combinaison pendant le RAID.","在raid期间禁止安装组合锁。","Raid中にコンビネーションロックを取り付けることは禁止されています。","É proibido instalar um cadeado de combinação durante o ataque.","在raid期间禁止安装组合锁。",
"STR_BLANK_NoBuild_Building","It is forbidden to engage in construction during the raid.","It is forbidden to engage in construction during the raid.","Při razii je zakázáno stavět.","Es ist verboten, während des Überfalls mit dem Bau beschäftigt zu sein.","Запрещено заниматься строительством во время рейда.","Zabronione jest budowanie podczas nalotu.","A raid alatt tilos építkezni.","È vietato impegnarsi nella costruzione durante il raid.","Está Prohibido construir durante la redada.","Il est interdit de s'engager dans la construction pendant le RAID.","在突袭期间禁止从事建筑。","襲撃中に建設に従事することは禁じられています。","É proibido construir durante o ataque.","在突袭期间禁止从事建筑。",
"STR_BLANKNotification_IG_RaidStart","Attention! Raid time has started, and the raid is unlocked!","Attention! Raid time has started, and the raid is unlocked!","Pozor! Razie začala, razie se odblokovala!","Achtung! Die Überfallzeit hat begonnen, der Überfall ist freigeschaltet!","Внимание! Начался рейд-тайм, рейд разблокирован!","Uwaga! Rozpoczął się RAID time, RAID odblokowany!","Figyelem! A raid idő elkezdődött, a raid fel van oldva!","Attenzione! RAID Time è iniziato, RAID sbloccato!","¡Atención! ¡El tiempo de incursión ha comenzado, la incursión está desbloqueada!","Attention! RAID Time a commencé, RAID débloqué!","注意！ Raid时间已经开始，raid解锁！","注意！ レイド時間が開始され、レイドのロックが解除されました！","Atenção! O RAID time começou, o raid foi desbloqueado!","注意！ Raid时间已经开始，raid解锁！",
"STR_BLANKNotification_IG_RaidStop","Attention! Raid time has ended, and the raid has been disabled.","Attention! Raid time has ended, and the raid has been disabled.","Pozor! Razie skončila, nájezd byl přerušen.","Achtung! Die Überfallzeit ist vorbei, der Überfall ist aus.","Внимание! Рейд-тайм закончился, рейд отключён.","Uwaga! Czas nalotu się skończył, nalot jest wyłączony.","Figyelem! A raid idő lejárt, és a raid le van tiltva.","Attenzione! Il raid è finito, il raid è spento.","¡Atención! El tiempo de incursión ha terminado, la incursión está desactivada.","Attention! Le RAID Time est terminé, le RAID est désactivé.","注意！ Raid时间结束，raid被禁用。","注意！ Raid時間が終了し、raidが無効になります。","Atenção! O tempo de ataque acabou, o ataque foi desligado.","注意！ Raid时间结束，raid被禁用。",
"STR_BSRaidSettings_CT_RaidTime","You cannot lower the flag, the raid time is not active.","You cannot lower the flag, the raid time is not active.","Nemůžete spustit vlajku, RAID Time není aktivní.","Sie können die Flagge nicht weglassen, die Überfallzeit ist nicht aktiv.","Вы не можете опустить флаг, рейд-тайм не активен.","Nie możesz pominąć flagi, RAID Time nie jest aktywny.","Nem csökkentheti a zászlót, a raid idő nem aktív.","Non puoi abbassare la bandiera, il raid Time non è attivo.","No puedes Bajar la bandera, el tiempo de incursión no está activo.","Vous ne pouvez pas omettre le drapeau, le RAID Time n'est pas actif.","您不能降低标志，raid时间不活动。","フラグを下げることはできず、raid時間はアクティブではありません。","Você não pode baixar a bandeira, o tempo de ataque não está ativo.","您不能降低标志，raid时间不活动。",
"STR_BSRaidSettings_Flag_Ban_Part1","A raid has begun in a radius of:","A raid has begun in a radius of:","Začala razie v okruhu:","Razzia im Umkreis begann:","Начался рейд в радиусе:","Rozpoczął się rajd w promieniu:","A rajtaütés egy sugarú körben kezdődött:","Il raid è iniziato nel raggio:","La redada comenzó en un Radio de:","Le RAID a commencé dans un rayon de:","一场突袭已经在一个半径范围内开始。:","の半径でraidが開始されました:","O ataque começou no raio:","一场突袭已经在一个半径范围内开始。:",
"STR_BSRaidSettings_Flag_Ban_Part2","meters.","meters.","metrů.","Meter.","метров.","metr.","méter.","metro.","metros.","mètres.","米。","メーター","metro.","米。",
"STR_BSRaidSettings_Flag_Ban_Part3","Construction is blocked.","Construction is blocked.","Stavba je zablokovaná.","Die Baustelle ist gesperrt.","Строительство заблокировано.","Budowa zablokowana.","Az építkezés blokkolva van.","La costruzione è bloccata.","","La construction est bloquée.","施工受阻。","建設がブロックされています。","Construção bloqueada.","施工受阻。",
"STR_BSRaidSettings_Flag_UnBan_Part1","The raid in your radius is over.","The raid in your radius is over.","Razie ve vašem okruhu je u konce.","Der Überfall in eurem Umkreis ist beendet.","Рейд в вашем радиусе закончен.","Nalot w Twoim promieniu się skończył.","A razzia a sugár vége.","Il raid nel tuo raggio è finito.","La incursión en tu Radio ha terminado.","Le RAID dans votre rayon est terminé.","你半径范围内的突袭结束了。","あなたの半径の襲撃は終わった。","A incursão no seu raio acabou.","你半径范围内的突袭结束了。",
"STR_BSRaidSettings_Flag_UnBan_Part2","Construction is unblocked.","Construction is unblocked.","Stavba je odemčená.","Der Bau wurde freigeschaltet.","Строительство разблокировано.","Budowa odblokowana.","Az építkezés feloldva.","Costruzione sbloccata.","Construcción desbloqueada.","Construction déverrouillée.","施工畅通。","建設はブロックされていません。","Construção desbloqueada.","施工畅通。",
"STR_BLANKNotification_Infomain_Title","Information about the raid","Information about the raid","Informace o razii","Informationen zum Überfall","Информация по поводу рейда","Informacje o rajdzie","Információ a raidről","Informazioni sul RAID","Información sobre la redada","Informations sur le RAID","有关raid的信息","Raidについての情報","Informações sobre o RAID","有关raid的信息",
"STR_BS_RaidSettings_Information_C4","Please note!","Please note!","Všimněte si!","Achtung!","Обратите внимание!","Uwaga!","Kérjük, vegye figyelembe!","Attenzione!","¡Presta atención!","Faites attention!","请注意！","ご注意ください！","Prestem atenção!","请注意！",
"STR_BS_RaidSettings_Information_C4_Down","Pay attention to where you installed C4. If it's not a door/gate, the damage from the explosion won't go away.","Pay attention to where you installed C4. If it's not a door/gate, the damage from the explosion won't go away.","Všimněte si, kam jste nainstalovali C4. Pokud to nejsou dveře / brány, poškození po výbuchu neprojde.","Beachten Sie, wo Sie C4 installiert haben. Wenn es sich nicht um eine Tür/ein Tor handelt, wird der Schaden nach der Explosion nicht verschwinden.","Обратите внимание куда вы установили С4. Если это не дверь/ворота, урон после взрыва не пройдёт.","Zwróć uwagę, gdzie zainstalowałeś C4. Jeśli nie są to Drzwi / Bramy, obrażenia po wybuchu nie znikną.","Ügyeljen arra, hogy hol telepítette a C4-et. Ha ez nem ajtó / kapu, akkor a robbanás okozta kár nem múlik el.","Nota dove hai installato C4. Se non è una porta / cancello, il danno dopo l'esplosione non passerà.","Preste la atención donde usted instaló S4. Si no es una puerta/ puerta, el daño después de la explosión no pasará.","Notez où vous avez installé S4. Si ce n'est pas une porte/une porte, les dégâts après l'explosion ne passeront pas.","注意您安装C4的位置。 如果不是门/门，爆炸造成的伤害就不会消失。","C4をインストールした場所に注意してください。 それがドア/ゲートでなければ、爆発からの損傷は消えません。","Pague a atenção onde você instalou X4. Se não for uma porta/portão, o dano após a explosão não passará.","注意您安装C4的位置。 如果不是门/门，爆炸造成的伤害就不会消失。",
"STR_RaidFireDisabled","Gunshot raid is disabled on this server.","Gunshot raid is disabled on this server.","Razie na tomto serveru byla přerušena.","Der Überfall mit Schüssen ist auf diesem Server deaktiviert.","Рейд выстрелами отключен на данном сервере.","Raid jest wyłączony na tym serwerze.","A puskalövés le van tiltva ezen a szerveren.","I colpi RAID sono disabilitati Su questo server.","La incursión de disparos está desactivada en este servidor.","Les tirs de RAID sont désactivés sur ce serveur.","此服务器上禁用了Gunshot raid。","このサーバーではGunshot raidが無効になっています。","O ataque de tiros foi desativado neste servidor.","此服务器上禁用了Gunshot raid。",
"STR_RaidExplosionDisabled","Explosion raid is disabled on this server.","Explosion raid is disabled on this server.","Nálety jsou na tomto serveru vypnuté.","Der Explosionsüberfall ist auf diesem Server deaktiviert.","Рейд взрывами отключен на данном сервере.","Nalot wybuchów jest wyłączony na tym serwerze.","A bombázás le van tiltva ezen a szerveren.","Il raid con esplosioni è disabilitato su questo server.","La redada de explosiones está desactivada en este servidor.","Le RAID des explosions est désactivé sur ce serveur.","轰炸raid在此服务器上被禁用。","このサーバーでは爆撃raidが無効になっています。","O ataque de explosão está Desativado neste servidor.","轰炸raid在此服务器上被禁用。",
